Time,P634A,P634B,P634C,Q634A,Q634B,Q634C,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,Ptotal
679,0.823870626,2.18618659,2.260759911,0.616693801,3.265206614,2.142807292,0.60832035,0.959385659,3.187336345,0.511276426,1.105727921,1.862956037,7.692059373,7.692059373,0.1,0.599509219,0.239803687,0.438853428,0.239803687,0.282405468,0.239803687,0.282405468,0.239803687,0.599509219,0.239803687,0.438853428,0.239803687,0.282405468,0.239803687,0.282405468,0.239803687,0.599509219,0.239803687,0.438853428,0.239803687,0.282405468,0.239803687,0.282405468,0.239803687,0.599509219,0.239803687,0.438853428,0.239803687,0.282405468,0.239803687,0.282405468,0.239803687,0.199696329,0.199696329,0.199696329,0.199361807,37.7062167
680,0.844433245,2.4358071,2.260621411,0.636402624,3.320055902,2.143198542,0.608948661,0.805384366,3.187435095,0.487746997,1.173388545,1.862856537,7.694559373,7.694559373,0.1,0.599540319,0.239816127,0.438873128,0.239816127,0.282420118,0.239816127,0.282420118,0.239816127,0.599540319,0.239816127,0.438873128,0.239816127,0.282420118,0.239816127,0.282420118,0.239816127,0.599540319,0.239816127,0.438873128,0.239816127,0.282420118,0.239816127,0.282420118,0.239816127,0.599540319,0.239816127,0.438873128,0.239816127,0.282420118,0.239816127,0.282420118,0.239816127,0.199697341,0.199697341,0.199697341,0.199362817,37.72935626
681,0.895358669,2.634113856,2.260482911,0.61877396,3.441445573,2.143589792,0.566042763,0.785667472,3.187533845,0.461722677,1.199946363,1.862757037,7.697059373,7.697059373,0.1,0.599571419,0.239828567,0.438892828,0.239828567,0.282434768,0.239828567,0.282434768,0.239828567,0.599571419,0.239828567,0.438892828,0.239828567,0.282434768,0.239828567,0.282434768,0.239828567,0.599571419,0.239828567,0.438892828,0.239828567,0.282434768,0.239828567,0.282434768,0.239828567,0.599571419,0.239828567,0.438892828,0.239828567,0.282434768,0.239828567,0.282434768,0.239828567,0.199698353,0.199698353,0.199698353,0.199363827,37.69949203
682,0.911818271,2.716102735,2.260344411,0.581841212,3.714412841,2.143981042,0.554491971,0.86702174,3.187632595,0.460468828,1.152247513,1.862657537,7.699559373,7.699559373,0.1,0.599602519,0.239841007,0.438912528,0.239841007,0.282449418,0.239841007,0.282449418,0.239841007,0.599602519,0.239841007,0.438912528,0.239841007,0.282449418,0.239841007,0.282449418,0.239841007,0.599602519,0.239841007,0.438912528,0.239841007,0.282449418,0.239841007,0.282449418,0.239841007,0.599602519,0.239841007,0.438912528,0.239841007,0.282449418,0.239841007,0.282449418,0.239841007,0.199699365,0.199699365,0.199699365,0.199364837,37.67198347
683,0.881778274,2.658630336,2.260205911,0.566248092,4.020708323,2.144372292,0.552476956,0.930928223,3.187731345,0.490473592,1.071176228,1.862558037,7.702059373,7.702059373,0.1,0.599633619,0.239853447,0.438932228,0.239853447,0.282464068,0.239853447,0.282464068,0.239853447,0.599633619,0.239853447,0.438932228,0.239853447,0.282464068,0.239853447,0.282464068,0.239853447,0.599633619,0.239853447,0.438932228,0.239853447,0.282464068,0.239853447,0.282464068,0.239853447,0.599633619,0.239853447,0.438932228,0.239853447,0.282464068,0.239853447,0.282464068,0.239853447,0.199700377,0.199700377,0.199700377,0.199365847,37.66010933
684,0.859454571,2.544818559,2.260067411,0.551152392,3.948552414,2.144763542,0.489872831,0.920142,3.187830095,0.538694778,0.985841692,1.862458537,7.704559373,7.704559373,0.1,0.599664719,0.239865887,0.438951928,0.239865887,0.282478718,0.239865887,0.282478718,0.239865887,0.599664719,0.239865887,0.438951928,0.239865887,0.282478718,0.239865887,0.282478718,0.239865887,0.599664719,0.239865887,0.438951928,0.239865887,0.282478718,0.239865887,0.282478718,0.239865887,0.599664719,0.239865887,0.438951928,0.239865887,0.282478718,0.239865887,0.282478718,0.239865887,0.199701389,0.199701389,0.199701389,0.199366857,37.61407622
685,0.858710954,2.473354456,2.259928911,0.4960703,3.44410013,2.145154792,0.423561214,0.926527155,3.187928845,0.551289333,0.973495713,1.862359037,7.707059373,7.707059373,0.1,0.599695819,0.239878327,0.438971628,0.239878327,0.282493368,0.239878327,0.282493368,0.239878327,0.599695819,0.239878327,0.438971628,0.239878327,0.282493368,0.239878327,0.282493368,0.239878327,0.599695819,0.239878327,0.438971628,0.239878327,0.282493368,0.239878327,0.282493368,0.239878327,0.599695819,0.239878327,0.438971628,0.239878327,0.282493368,0.239878327,0.282493368,0.239878327,0.199702401,0.199702401,0.199702401,0.199367866,37.51030268
686,0.872487874,2.418487382,2.259790411,0.439174098,3.057426058,2.145546042,0.383142621,0.975229852,3.188027595,0.519945101,1.054951553,1.862259537,7.709559373,7.709559373,0.1,0.599726919,0.239890767,0.438991328,0.239890767,0.282508018,0.239890767,0.282508018,0.239890767,0.599726919,0.239890767,0.438991328,0.239890767,0.282508018,0.239890767,0.282508018,0.239890767,0.599726919,0.239890767,0.438991328,0.239890767,0.282508018,0.239890767,0.282508018,0.239890767,0.599726919,0.239890767,0.438991328,0.239890767,0.282508018,0.239890767,0.282508018,0.239890767,0.199703412,0.199703412,0.199703412,0.199368876,37.4011898
687,0.912465397,2.254591009,2.259651911,0.432390139,3.13823104,2.145937292,0.361160829,1.032703637,3.188126345,0.503462096,1.133094674,1.862160037,7.712059373,7.712059373,0.1,0.599758019,0.239903207,0.439011028,0.239903207,0.282522668,0.239903207,0.282522668,0.239903207,0.599758019,0.239903207,0.439011028,0.239903207,0.282522668,0.239903207,0.282522668,0.239903207,0.599758019,0.239903207,0.439011028,0.239903207,0.282522668,0.239903207,0.282522668,0.239903207,0.599758019,0.239903207,0.439011028,0.239903207,0.282522668,0.239903207,0.282522668,0.239903207,0.199704424,0.199704424,0.199704424,0.199369886,37.4016878
688,0.956624355,1.974311809,2.259513411,0.469595027,3.529321539,2.146328542,0.377310941,1.102585769,3.188225095,0.516967762,1.156515434,1.862060537,7.714559373,7.714559373,0.1,0.599789119,0.239915647,0.439030728,0.239915647,0.282537318,0.239915647,0.282537318,0.239915647,0.599789119,0.239915647,0.439030728,0.239915647,0.282537318,0.239915647,0.282537318,0.239915647,0.599789119,0.239915647,0.439030728,0.239915647,0.282537318,0.239915647,0.282537318,0.239915647,0.599789119,0.239915647,0.439030728,0.239915647,0.282537318,0.239915647,0.282537318,0.239915647,0.199705436,0.199705436,0.199705436,0.199370895,37.51847665
